Recommender type: SVDRecommender	Factorization Type: ALSWRFactorizer 	 Num Features type: 50	Lambda: 0.1	Num Of iteration: 20	Test Size: 0
--------------------------------------------
Total: 240000 	 Error Count: 70672 	 %Correct: 0.7055333333333333
Total: 250000 	 Error Count: 73599 	 %Correct: 0.705604
Total: 260000 	 Error Count: 76408 	 %Correct: 0.7061230769230769
Total: 270000 	 Error Count: 79608 	 %Correct: 0.7051555555555555
Total: 280000 	 Error Count: 82801 	 %Correct: 0.7042821428571429
Total: 290000 	 Error Count: 85833 	 %Correct: 0.7040241379310345
Total: 300000 	 Error Count: 89130 	 %Correct: 0.7029000000000001
Total: 310000 	 Error Count: 92453 	 %Correct: 0.7017645161290322
Total: 320000 	 Error Count: 95402 	 %Correct: 0.70186875
Total: 330000 	 Error Count: 98607 	 %Correct: 0.7011909090909091
Total: 340000 	 Error Count: 101141 	 %Correct: 0.7025264705882353
Total: 350000 	 Error Count: 104200 	 %Correct: 0.7022857142857143
Total: 360000 	 Error Count: 107100 	 %Correct: 0.7025
Total: 370000 	 Error Count: 109730 	 %Correct: 0.7034324324324324
Total: 380000 	 Error Count: 112793 	 %Correct: 0.7031763157894737
Total: 390000 	 Error Count: 115642 	 %Correct: 0.7034820512820512
Total: 400000 	 Error Count: 118374 	 %Correct: 0.7040649999999999
Total: 410000 	 Error Count: 121200 	 %Correct: 0.704390243902439
Total: 420000 	 Error Count: 123984 	 %Correct: 0.7048
Total: 430000 	 Error Count: 126800 	 %Correct: 0.7051162790697674
Total: 440000 	 Error Count: 129524 	 %Correct: 0.7056272727272728
Total: 450000 	 Error Count: 132450 	 %Correct: 0.7056666666666667
Total: 460000 	 Error Count: 135248 	 %Correct: 0.7059826086956522
Total: 470000 	 Error Count: 137954 	 %Correct: 0.7064808510638299
Total: 480000 	 Error Count: 140675 	 %Correct: 0.7069270833333333
Total: 490000 	 Error Count: 143540 	 %Correct: 0.7070612244897959
Total: 499019 	 Error Count: 146042 	 %Correct: 0.7073418046206658
--------------------------------------------
Recommender type: SVDRecommender	Factorization Type: SVDPlusPlusFactorizer 	 Num Features type: 50	Lambda: 0.2	Num Of iteration: 20	Test Size: 0
--------------------------------------------
Total: 10000 	 Error Count: 2250 	 %Correct: 0.775
Total: 20000 	 Error Count: 4632 	 %Correct: 0.7684
Total: 30000 	 Error Count: 6393 	 %Correct: 0.7868999999999999
Total: 40000 	 Error Count: 8990 	 %Correct: 0.77525
Total: 50000 	 Error Count: 11553 	 %Correct: 0.76894
Total: 60000 	 Error Count: 13873 	 %Correct: 0.7687833333333334
Total: 70000 	 Error Count: 16163 	 %Correct: 0.7691
Total: 80000 	 Error Count: 18824 	 %Correct: 0.7646999999999999
Total: 90000 	 Error Count: 21292 	 %Correct: 0.7634222222222222
Total: 100000 	 Error Count: 23957 	 %Correct: 0.7604299999999999
Total: 110000 	 Error Count: 26455 	 %Correct: 0.7595000000000001
Total: 120000 	 Error Count: 29292 	 %Correct: 0.7559
Total: 130000 	 Error Count: 31863 	 %Correct: 0.7549
Total: 140000 	 Error Count: 35040 	 %Correct: 0.7497142857142858
Total: 150000 	 Error Count: 37781 	 %Correct: 0.7481266666666666
Total: 160000 	 Error Count: 40891 	 %Correct: 0.74443125
Total: 170000 	 Error Count: 43825 	 %Correct: 0.7422058823529412
Total: 180000 	 Error Count: 46614 	 %Correct: 0.7410333333333333
Total: 190000 	 Error Count: 49852 	 %Correct: 0.737621052631579
Total: 200000 	 Error Count: 53019 	 %Correct: 0.7349049999999999
Total: 210000 	 Error Count: 55726 	 %Correct: 0.7346380952380953
Total: 220000 	 Error Count: 58501 	 %Correct: 0.7340863636363637
Total: 230000 	 Error Count: 61284 	 %Correct: 0.7335478260869566
Total: 240000 	 Error Count: 64133 	 %Correct: 0.7327791666666666
Total: 250000 	 Error Count: 66771 	 %Correct: 0.732916
Total: 260000 	 Error Count: 69282 	 %Correct: 0.7335307692307692
Total: 270000 	 Error Count: 72225 	 %Correct: 0.7324999999999999
Total: 280000 	 Error Count: 75296 	 %Correct: 0.7310857142857143
Total: 290000 	 Error Count: 78047 	 %Correct: 0.7308724137931035
Total: 300000 	 Error Count: 81155 	 %Correct: 0.7294833333333333
Total: 310000 	 Error Count: 84224 	 %Correct: 0.7283096774193548
Total: 320000 	 Error Count: 87038 	 %Correct: 0.72800625
Total: 330000 	 Error Count: 90034 	 %Correct: 0.727169696969697
Total: 340000 	 Error Count: 92459 	 %Correct: 0.7280617647058824
Total: 350000 	 Error Count: 95263 	 %Correct: 0.72782
Total: 360000 	 Error Count: 97989 	 %Correct: 0.7278083333333334
Total: 370000 	 Error Count: 100522 	 %Correct: 0.728318918918919
Total: 380000 	 Error Count: 103367 	 %Correct: 0.7279815789473685
Total: 390000 	 Error Count: 106045 	 %Correct: 0.7280897435897435
Total: 400000 	 Error Count: 108541 	 %Correct: 0.7286475
Total: 410000 	 Error Count: 111192 	 %Correct: 0.7288
Total: 420000 	 Error Count: 113826 	 %Correct: 0.7289857142857143
Total: 430000 	 Error Count: 116452 	 %Correct: 0.7291813953488372
Total: 440000 	 Error Count: 118951 	 %Correct: 0.7296568181818182
Total: 450000 	 Error Count: 121782 	 %Correct: 0.7293733333333333
Total: 460000 	 Error Count: 124389 	 %Correct: 0.7295891304347826
Total: 470000 	 Error Count: 127024 	 %Correct: 0.7297361702127659
Total: 480000 	 Error Count: 129606 	 %Correct: 0.7299875
Total: 490000 	 Error Count: 132288 	 %Correct: 0.7300244897959184
Total: 499019 	 Error Count: 134732 	 %Correct: 0.7300062723062649
--------------------------------------------
Recommender type: SVDRecommender	Factorization Type: SVDPlusPlusFactorizer 	 Num Features type: 50	Lambda: 0.2	Num Of iteration: 30	Test Size: 0
--------------------------------------------
Total: 10000 	 Error Count: 2253 	 %Correct: 0.7746999999999999
Total: 20000 	 Error Count: 4606 	 %Correct: 0.7697
Total: 30000 	 Error Count: 6384 	 %Correct: 0.7872
Total: 40000 	 Error Count: 9074 	 %Correct: 0.77315
